Agilent Part Number,Retail Price (Agilent List Price),Price Status
G4267-87201,$514.00 /1 Each,Listed
G4267-87210,"452,00 EUR /1 Each",Listed
G4267-87012,$410.00 /1 Each,Listed
5068-0198,$510.00 /1 Each,Listed
5068-0197,"2 739,19 EUR",Listed
5068-0210,$51.46,Listed
5067-4232,"$3,709.00",Listed
5067-6127,$35.22 /1 Each,Listed
G4267-60043,"$1,645.00",Listed
G4267-60433,$406.00,Listed
0905-1719,$123.00 /1 Each,Listed
G4267-60434,$482.00,Listed
0515-1052,$8.78,Listed
G4267-60432,$278.00,Listed
5067-5678,$406.00 /1 Each,Listed
G4267-40430,No public list price found,No public list price found
5043-1000,$8.78,Listed
G4267-60300,$457.00 /1 Each,Listed
G4267-60400,$511.00 /1 Each,Listed
G4267-60500,$520.00 /1 Each,Listed
G7167-68500,$589.00 /1 Each,Listed
G7167-68900,$585.00 /1 Each,Listed
G7167-60300,"385,00 EUR /1 Each",Listed
G4267-60311,$362.00 /1 Each,Listed
G4267-60411,$339.00 /1 Each,Listed
G4267-60511,$383.00 /1 Each,Listed
G7167-68511,"$1,046.00 /1 Each",Listed
G7167-68911,"$1,084.00 /1 Each",Listed
G7167-60311,$432.00 /1 Each,Listed
G4267-60301,$265.00 /1 Each,Listed
G4267-60401,$280.00 /1 Each,Listed
G4267-60501,$288.00 /1 Each,Listed
G7167-68501,$602.00 /1 Each,Listed
G7167-68901,$640.00 /1 Each,Listed
G7167-60301,$344.00 /1 Each,Listed
5067-4260,"$3,972.00",Listed
5068-0231,"$4,188.00 /1 Each",Listed
5068-0232,$731.00 /1 Each,Listed
G4267-60044,"1 326,40 EUR",Listed
G4267-40045,$32.10,Listed
5500-1159,$62.07,Listed
5500-1246,No public list price found,No public list price found
5500-1157,$85.55 /1 Each,Listed
5004-0056,No public list price found,No public list price found
5043-0885,No public list price found,No public list price found
5360-0024,No public list price found,No public list price found
5431-0062,No public list price found,No public list price found
5067-5415,$506.00,Listed
5021-1879,No public list price found,No public list price found
5431-0016,No public list price found,No public list price found
G7167-68718,No public list price found,No public list price found
G4267-68705,$570.00,Listed
G7167-68710,"$1,462.00 /1 Kit",Listed
G7167-68720,"$3,539.00 /1 Kit",Listed
G4220-60007,$151.00 /1 Kit,Listed
G4267-60061,$110.00,Listed
5063-6527,$30.01,Listed
5181-1519,No public list price found,No public list price found
0100-1710,£12.00 /1,Listed
5023-2533,No public list price found,No public list price found
5067-6137,No public list price found,No public list price found
G7120-68135,$929.00 /1 Each,Listed
G7120-68380,"998,00 EUR /1 Each",Listed
G7120-60029,"$1,770.00",Listed
5065-4445,No public list price found,No public list price found
G7104-60001,No public list price found,No public list price found
G4220-60350,"$3,865.00",Listed
G4220-60360,"$3,865.00",Listed
G7120-68741,$983.00 /1 Kit,Listed
5067-4655,$117.00 /1 Each,Listed
5065-9978,$38.65 /1 Each,Listed
G4220-60035,$76.35 /1 Pack,Listed
5067-4661,$81.80 /1 Pack,Listed
G4220-87000,$236.00 /1 Pack,Listed
01090-87308,$184.00 /1 Each,Listed
G7120-40004,No public list price found,No public list price found
5067-4124,$96.50 /1,Listed
G7120-60007,"112,00 EUR /1 Each",Listed
G7120-68070,$610.00 /1 Kit,Listed
G4220-60070,No public list price found,No public list price found
G7120-60017,$123.00 /1 Kit,Listed
5067-6871,$351.00 /1 Each,Listed
G4220-60661,No public list price found,No public list price found
G4220-60660,No public list price found,No public list price found
G4220-60022,$371.00 /1 Each,Listed
G4220-60028,$658.00 /1 Each,Listed
G4220-20020,No public list price found,No public list price found
5042-9966,$1.89,Listed
G1312-60001,$239.00 /1 Pack,Listed
G4220-81013,No public list price found,No public list price found
5023-3119,$27.65,Listed
G4220-40001,$58.05,Listed
0960-2971,No public list price found,No public list price found
5067-5975,No public list price found,No public list price found
5810-0009,$6.56,Listed
G4220-60046,$384.00,Listed
0905-1175,No public list price found,No public list price found
G4220-60616,$387.00,Listed
G4220-60533,$500.00,Listed
G4220-25513,$414.00,Listed
G4220-20001,$56.84 /1 Each,Listed
G4220-20000,No public list price found,No public list price found
G4220-20003,$61.58,Listed
5067-4236,"$3,022.00",Listed
1535-4857,$191.00,Listed
5068-0004,"$1,530.00 /1 Each",Listed
5068-0201,"$1,095.00 /1 Each",Listed
1535-4045,$30.90 /1 Each,Listed
5067-4728,No public list price found,No public list price found
01018-22707,$51.60 /1 Pack,Listed
G7120-68705,"$1,129.00",Listed
G4220-67000,$24.93 /1 Each,Listed
5067-6197,$68.90 /1,Listed
5043-1400,$79.55 /1,Listed
5500-1217,$85.10 /1 Each,Listed
G7116-60004,"1 009,01 EUR",Listed
G7116-68713,$573.00,Listed
G7116-40100,$221.00,Listed
G7116-40103,No public list price found,No public list price found
G7116-40106,No public list price found,No public list price found
G7116-67004,No public list price found,No public list price found
G7116-60003,No public list price found,No public list price found
G7116-40043,No public list price found,No public list price found
G7116-40013,No public list price found,No public list price found
G1353D,"$2,352.00 /1 Each",Listed
G1170A,No public list price found,No public list price found
5067-6138,No public list price found,No public list price found
5067-6139,No public list price found,No public list price found
G1170-68705,No public list price found,No public list price found
G7116-60021,"293,00 EUR /1 Each",Listed
G7116-60015,No public list price found,No public list price found
G7116-60051,$310.00 /1 Each,Listed
G7116-60031,$231.00 /1 Each,Listed
G7116-60061,$326.00 /1 Each,Listed
G7116-60091,$483.00 /1 Each,Listed
G7116-60071,$483.00 /1 Each,Listed
G7116-60081,$474.00 /1 Each,Listed
G7116-60041,"$1,251.00 /1 Each",Listed
G7116-68705,"$1,263.00",Listed
5500-1191,$57.35 /1 Each,Listed
5067-5966,No public list price found,No public list price found
5067-5957,$408.00 /1 Each,Listed
G7116-68003,$51.85 /2 Pack,Listed
5043-0915,"22,00 EUR /1 Each",Listed
G7116-60006,$70.80 /1 Each,Listed
5022-2184,$54.25 /1 Each,Listed
G7116-68004,$46.60 /2 Pack,Listed
5067-5917,$45.80 /1 Each,Listed
G7116-60013,$709.00 /1 Each,Listed
5067-5965,$325.00 /1 Each,Listed
5043-0924,No public list price found,No public list price found
5067-5961,$400.00 /1 Each,Listed
5067-6163,$406.00 /1 Each,Listed
5067-6164,$406.00 /1 Each,Listed
5067-6165,$398.00 /1 Each,Listed
5067-5958,$408.00 /1 Each,Listed
5067-5959,$408.00 /1 Each,Listed
5067-5960,$408.00 /1 Each,Listed
5067-6166,$406.00 /1 Each,Listed
5067-6167,$406.00 /1 Each,Listed
5067-6168,$406.00 /1 Each,Listed
5067-6169,$406.00 /1 Each,Listed
5500-1174,$80.44 /1 Each,Listed
5500-1175,$80.95 /1 Each,Listed
5500-1176,$79.37 /1 Each,Listed
5500-1177,$79.37 /1 Each,Listed
5500-1178,$79.37 /1 Each,Listed
5500-1173,$82.05 /1 Each,Listed
5500-1172,$82.05 /1 Each,Listed
5500-1171,"82,00 EUR /1 Each",Listed
5500-1170,No public list price found,No public list price found
5500-1179,$79.37 /1 Each,Listed
5500-1180,No public list price found,No public list price found
5500-1181,"82,00 EUR /1 Each",Listed
5500-1182,No public list price found,No public list price found
5500-1183,$79.37 /1 Each,Listed
5500-1230,$79.37 /1 Each,Listed
5500-1231,$79.37 /1 Each,Listed
5500-1259,$78.46 /1 Each,Listed
5500-1260,$78.46 /1 Each,Listed
5500-1198,No public list price found,No public list price found
5500-1232,$56.70 /1 Each,Listed
5500-1206,$82.70 /1 Each,Listed
5500-1205,$103.00 /1 Each,Listed
5500-1188,$57.35 /1 Each,Listed
5500-1189,$56.23 /1 Each,Listed
5500-1233,$55.57 /1 Each,Listed
5500-1190,$56.23 /1 Each,Listed
5500-1192,$57.35 /1 Each,Listed
5500-1193,$57.35 /1 Each,Listed
5500-1194,$57.35 /1 Each,Listed
5500-1234,$55.57 /1 Each,Listed
5500-1195,$57.35 /1 Each,Listed
5500-1196,$56.23 /1 Each,Listed
5500-1235,No public list price found,No public list price found
5500-1236,$55.57 /1 Each,Listed
5500-1197,$56.23 /1 Each,Listed
5500-1237,$56.70 /1 Each,Listed
5500-1262,$54.96 /1 Each,Listed
5500-1263,$56.05 /1 Each,Listed
5500-1200,$72.40 /1 Each,Listed
5500-1288,$75.60 /1 Each,Listed
5500-1290,$74.10 /1 Each,Listed
G7116-81001,No public list price found,No public list price found
G7116-81002,No public list price found,No public list price found
5067-5915,No public list price found,No public list price found
5067-5916,No public list price found,No public list price found
G4750B,"$1,906.00 /1 Each",Listed
G4212-60008,"$4,394.00 /1 Each",Listed
G4212-60007,"$4,732.00 /1 Each",Listed
G7117-60020,"$4,787.00 /1 Each",Listed
G4212-60011,"$3,462.00 /1 Each",Listed
G4212-60032,"$4,764.00 /1 Each",Listed
G4212-60038,"6 204,00 EUR /1 Each",Listed
5190-0917,"$1,449.00 /1 Each",Listed
5043-0856,$21.04,Listed
5062-8535,No public list price found,No public list price found
5043-1013,$12.54,Listed
5360-0015,No public list price found,No public list price found
5360-0016,No public list price found,No public list price found
5004-3140,No public list price found,No public list price found
G7117-68755,No public list price found,No public list price found
5181-1516,$221.00,Listed
5041-2168,$75.80 /1 Each,Listed
5041-2164,Obsolete - no price listed,Obsolete/no price
5023-0271,$181.00 /1 Pack,Listed
0100-0900,$142.00 /1 Each,Listed
G7175A,"7 498,00 EUR /1 Each",Listed
