Module / Category,Subsystem / Assembly,Part Description,Agilent Part Number,Replacement For / Original Part,Status,Torque / Service Note,Where to Buy,Notes
Multisampler (G7167B),Needle path,"Needle assembly, standard",G4267-87201,G4226-87012,Corrected from original,N/A,https://www.agilent.com/store/en_US/Prod-G4267-87201/G4267-87201,1290 Infinity III multisampler needle assembly.
Multisampler (G7167B),Needle path,"Needle assembly, slotted",G4267-87210,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G4267-87210/G4267-87210,Use only if the installed needle configuration calls for slotted needle.
Multisampler (G7167B),Needle path,"High pressure needle seat, 0.12 mm, PEEK",G4267-87012,G4226-87011,Corrected from original,N/A,https://www.agilent.com/store/en_US/Prod-G4267-87012/G4267-87012,1290 Infinity III high pressure needle seat.
Multisampler (G7167B),Injection valve,"Rotor seal, 1300 bar, PEEK, single needle",5068-0198,5067-4782,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0198/5068-0198,"For 1290 Infinity III injection valve, single needle."
Multisampler (G7167B),Injection valve,"Stator head, 2-position/6-port VICI valve",5068-0197,5068-0001,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0197/5068-0197,For standard 1300 bar VICI injection valve.
Multisampler (G7167B),Injection valve,Stator screws for 2-position/6-port VICI valve,5068-0210,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0210/5068-0210,
Multisampler (G7167B),Injection valve,"2-position/6-port injection valve, VICI, 1300 bar",5067-4232,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-4232/5067-4232,Standard valve listed for G7167B.
Multisampler (G7167B),Injection valve,"Blank nut, SL",5067-6127,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6127/5067-6127,
Multisampler (G7167B),Metering device,"Analytical head, 100 uL",G4267-60043,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60043/G4267-60043,For G7167A/G7167B.
Multisampler (G7167B),Metering device,"Head assembly, 100 uL metering device",G4267-60433,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60433/G4267-60433,
Multisampler (G7167B),Metering device,PE seal,0905-1719,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-0905-1719/0905-1719,Also used on pump heads; listed here for multisampler metering head.
Multisampler (G7167B),Metering device,Seal support assembly,G4267-60434,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60434/G4267-60434,
Multisampler (G7167B),Metering device,Screw M3 x 12 mm,0515-1052,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-0515-1052/0515-1052,
Multisampler (G7167B),Metering device,Spring adapter assembly,G4267-60432,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60432/G4267-60432,
Multisampler (G7167B),Metering device,"Piston, 100 uL, ZrO2",5067-5678,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5678/5067-5678,
Multisampler (G7167B),Metering device,RFID clamp,G4267-40430,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-40430/G4267-40430,
Multisampler (G7167B),Metering device,O-ring,5043-1000,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5043-1000/5043-1000,
Multisampler (G7167B),Sample loop - right side,"Sample loop, 20 uL, right",G4267-60300,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60300/G4267-60300,
Multisampler (G7167B),Sample loop - right side,"Sample loop, 40 uL, right",G4267-60400,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60400/G4267-60400,
Multisampler (G7167B),Sample loop - right side,"Sample loop, 100 uL, right",G4267-60500,G4226-87010,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60500/G4267-60500,Most likely replacement for the 100 uL sample loop in this stack.
Multisampler (G7167B),Sample loop - right side,"Sample loop flex, 500 uL, right",G7167-68500,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68500/G7167-68500,Only if configured for 500 uL loop.
Multisampler (G7167B),Sample loop - right side,"Sample loop flex, 900 uL, right",G7167-68900,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68900/G7167-68900,Only if configured for 900 uL loop.
Multisampler (G7167B),Sample loop - right side,"Extension loop flex, 500-900 uL",G7167-60300,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-60300/G7167-60300,For large-loop configuration.
Multisampler (G7167B),Dual needle option,"Sample loop flex, 20 uL, right, dual needle",G4267-60311,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60311/G4267-60311,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 40 uL, right, dual needle",G4267-60411,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60411/G4267-60411,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 100 uL, right, dual needle",G4267-60511,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60511/G4267-60511,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 500 uL, right, dual needle",G7167-68511,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68511/G7167-68511,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 900 uL, right, dual needle",G7167-68911,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68911/G7167-68911,
Multisampler (G7167B),Dual needle option,"Extension loop flex, right, dual needle",G7167-60311,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-60311/G7167-60311,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 20 uL, left, dual needle",G4267-60301,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60301/G4267-60301,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 40 uL, left, dual needle",G4267-60401,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60401/G4267-60401,
