Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column HALO Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,HALO Columns Product Catalog,MULTIPLE,"HALO catalog index of bonded phases including AQ-C18, Biphenyl, C18, C30, C4, C8, Diphenyl, ES-C18, ES-CN, Glycan, HILIC, LPH-C18, PAH, Penta-HILIC, PFAS, PFAS Delay, PFP, Phenyl-Hexyl, and RP-Amide.","Particle sizes shown on catalog page include 2 um, 2.7 um, 3.4 um, and 5 um; pore sizes include 90, 120, 160, 400, and 1000 A.","Portfolio overview for small molecule, environmental, and biopharmaceutical HALO columns.",Varies / quote,HALO Portfolio,Multiple,2 um; 2.7 um; 3.4 um; 5 um,,,90 A; 120 A; 160 A; 400 A; 1000 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product-literature/halo-catalog/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A C18,MULTIPLE,"Universal reversed-phase C18 phase for acids, bases, and neutral solutes.","USP L1; particle sizes 2, 2.7, and 5 um; wide dimensional range including analytical, semi-micro, capillary, and semi-prep.",General reversed-phase LC/UHPLC small molecule separations.,Varies / quote,HALO 90 A C18,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-c18/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A C8,MULTIPLE,Less hydrophobic and less retentive than C18; broad reversed-phase analyte coverage.,"Particle sizes 2, 2.7, and 5 um; analytical/semi-prep/capillary formats.",Broad analyte coverage where less retention than C18 is desired.,Varies / quote,HALO 90 A C8,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-c8/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A AQ-C18,MULTIPLE,Aqueous-compatible C18 phase for mixtures of polar and nonpolar solutes.,"Particle sizes 2, 2.7, and 5 um; 100% aqueous-compatible method support.",Polar/nonpolar mixtures and aqueous-rich reversed-phase methods.,Varies / quote,HALO 90 A AQ-C18,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-aq-c18/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A Biphenyl,MULTIPLE,Biphenyl phase with pi-pi/aromatic selectivity and 100% aqueous compatibility.,"Particle sizes 2, 2.7, and 5 um; analytical, capillary, semi-micro, semi-prep formats.","Aromatic compounds, isomers, and alternate selectivity versus alkyl phases.",Varies / quote,HALO 90 A Biphenyl,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-biphenyl/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A PFP,MULTIPLE,Pentafluorophenyl phase for aromatics and electron-rich compounds.,"Particle sizes 2, 2.7, and 5 um.","Aromatic, electron-rich, halogenated, polar, and isomeric compounds.",Varies / quote,HALO 90 A PFP,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-pfp/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A Phenyl-Hexyl,MULTIPLE,Phenyl-hexyl phase for pi-pi interactions and alternate selectivity.,"Particle sizes 2, 2.7, and 5 um.",Aromatic compounds and alternate reversed-phase selectivity.,Varies / quote,HALO 90 A Phenyl-Hexyl,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-phenyl-hexyl/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A PCS Phenyl-Hexyl,MULTIPLE,Positively charged surface phenyl-hexyl phase.,UHPLC and LC-MS compatible; designed for basic compounds.,"Basic compounds, increased loading capacity, PFAS-related environmental workflows.",Varies / quote,HALO 90 A PCS Phenyl-Hexyl,Reversed Phase,2 um; 2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-pcs-phenyl-hexyl/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A RP-Amide,MULTIPLE,RP-Amide phase with alternate selectivity to alkyl phases.,"Particle sizes 2, 2.7, and 5 um.","Basic compounds including alcohols, acids, phenols, and catechins.",Varies / quote,HALO 90 A RP-Amide,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-rp-amide/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A ES-CN,MULTIPLE,Endcapped/stable cyano-type phase with alternate selectivity to alkyl phases.,"Particle sizes 2, 2.7, and 5 um.",Polar analytes and alternate reversed-phase selectivity.,Varies / quote,HALO 90 A ES-CN,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-es-cn/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
