Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Waters Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,Waters Chromatography Columns & Supplies Catalog,MULTIPLE,"Waters chromatography columns and supplies catalog covering HPLC, UPLC/UHPLC, prep, SFC, biomolecule, SEC/GPC, nano/micro-flow, and application-specific columns.","Includes MaxPeak Premier, sub-2-um UPLC, 2.x-um UHPLC, >=3-um HPLC, >=5-um prep, SEC/GPC, biomolecule, nano/micro-flow.","Waters LC column portfolio overview.",Varies,Portfolio,Multiple,,,,,,No,,https://www.waters.com/nextgen/us/en/shop/chromatography-columns-and-supplies-catalog.html,,,,,Family/index row,"Not an individual SKU; select guard by chemistry, particle size, ID, pressure rating, and hardware."
Family,MaxPeak Premier Columns,MULTIPLE,"Waters MaxPeak Premier columns use High Performance Surfaces to reduce nonspecific adsorption of metal-sensitive compounds.","Designed to reduce passivation time and improve recovery/sensitivity for metal-sensitive analytes.","Metal-sensitive analytes, peptides, proteins, glycans, oligonucleotides, gene therapeutics, small molecules.",Varies,MaxPeak Premier,Multiple,,,,MaxPeak Premier/HPS,,No,,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,,,,Family/index row,"Not an individual SKU; choose matching Premier guard/FIT cartridge where available."
Family,ACQUITY UPLC Columns,MULTIPLE,"Waters ACQUITY UPLC family includes BEH, CSH, HSS, peptide, protein, glycan, oligonucleotide, and SEC columns.","Sub-2-um UPLC formats, many 2.1 mm ID columns, VanGuard pre-columns available for many chemistries.","UPLC/UHPLC small molecule and biomolecule separations.",Varies,ACQUITY UPLC,Multiple,1.7 um; 1.8 um; 2.5 um,2.1 mm typical,Multiple,Multiple,UPLC/eCord,,No,,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,,,Family/index row,"Not an individual SKU; match VanGuard pre-column by exact chemistry, pore size, particle size, and ID."
Family,XBridge Columns,MULTIPLE,"Waters XBridge HPLC/UHPLC columns use BEH hybrid particle technology for wide pH and temperature ranges.","Available as XP 2.5 um, 3.5 and 5 um HPLC, and 5/10 um OBD prep formats.","Method development, high-pH/low-pH methods, small molecules, peptides, proteins, glycan, oligonucleotides.",Varies,XBridge,Reversed Phase / HILIC / SEC / Biomolecule,2.5 um; 3.5 um; 5 um; 10 um,Multiple,Multiple,Multiple,HPLC/UHPLC/OBD Prep,,No,,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,,,,Family/index row,"Waters states XBridge guard columns should match particle size, chemistry, and hardware."
Family,XSelect Columns,MULTIPLE,"Waters XSelect columns include CSH and HSS chemistries for alternate selectivity and improved peak shape.","CSH phases use charged surface hybrid technology; HSS phases use high-strength silica.","General small molecule reversed-phase/HILIC method development.",Varies,XSelect,Reversed Phase / HILIC,2.5 um; 3.5 um; 5 um,Multiple,Multiple,Multiple,HPLC/UHPLC,,No,,https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html,,,,,Family/index row,"Not an individual SKU; use Sentry or VanGuard cartridge matched to chemistry/particle/ID."
Family,CORTECS Columns,MULTIPLE,"Waters CORTECS solid-core columns for high-efficiency separations at lower backpressure than fully porous particles.","Available as CORTECS and CORTECS Premier; C18, T3, HILIC, Phenyl and other chemistries.","Fast LC/UHPLC separations, method transfer, small molecules, polar compounds.",Varies,CORTECS,Reversed Phase / HILIC,1.6 um; 2.7 um; 5 um,Multiple,Multiple,90 A typical,Solid-core / Premier,,No,,https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html,,,,,Family/index row,"Not an individual SKU; use matching CORTECS VanGuard or FIT cartridge by chemistry/particle/ID."
Family,Atlantis Columns,MULTIPLE,"Waters Atlantis T3, dC18, and HILIC Silica columns for retaining polar compounds and broad polarity mixtures.","Atlantis T3 is a silica-based C18 designed for polar water-soluble organic compounds.","Polar analytes, aqueous-compatible reversed phase, HILIC bioanalytical workflows.",Varies,Atlantis,Reversed Phase / HILIC,3 um; 5 um,Multiple,Multiple,100 A,Silica,,No,,https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html,,,,,Family/index row,"Not an individual SKU; use Atlantis T3/dC18/HILIC guard matched by chemistry, particle size, and ID."
Family,Symmetry HPLC Columns,MULTIPLE,"Waters Symmetry silica-based HPLC columns manufactured for reproducibility and batch-to-batch consistency.","Available in column and guard formats.","Validated pharmaceutical and biopharmaceutical HPLC methods requiring reproducibility.",Varies,Symmetry,Reversed Phase / Normal Phase / Ion Exchange,3.5 um; 5 um,Multiple,Multiple,Multiple,Silica,,No,,https://www.waters.com/nextgen/us/en/products/columns/symmetry-hplc-columns.html,,,,,Family/index row,"Not an individual SKU; use matching Symmetry guard/Sentry cartridge."
Family,Spherisorb HPLC Columns,MULTIPLE,"Waters Spherisorb analytical and preparative HPLC columns with broad literature use.","Multiple silica chemistries and prep formats.","Legacy methods, analytical and preparative HPLC.",Varies,Spherisorb,Reversed Phase / Normal Phase / Ion Exchange,3 um; 5 um; 10 um,Multiple,Multiple,Multiple,Silica,,No,,https://www.waters.com/nextgen/us/en/products/columns/waters-spherisorb-hplc-columns.html,,,,,Family/index row,"Not an individual SKU; guard availability varies by legacy chemistry and hardware."
SKU,ACQUITY UPLC BEH C18 Column,186002350,"Universal UPLC C18 BEH column with wide pH range and low column bleed.","130 A; 1.7 um; 2.1 mm x 50 mm; pH 1-12; 18000 psi; USP L1.","General UPLC method development; small molecules; LC/MS.",Sign in to view Waters price,ACQUITY UPLC BEH C18,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186002350-acquity-uplc-beh-c18-column-130a-17--m-21-mm-x-50-mm-1-pk.html,186003975,"ACQUITY UPLC BEH C18 VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003975-acquity-uplc-beh-c18-vanguard-pre-column-130a-17--m-21-mm-x-5-mm.html,,Matched,"Same chemistry, pore size, particle size, and 2.1 mm VanGuard format."
SKU,ACQUITY UPLC BEH C18 Column,186002353,"Universal UPLC C18 BEH column with wide pH range and low column bleed.","130 A; 1.7 um; 2.1 mm x 150 mm; pH 1-12; 18000 psi; USP L1.","General UPLC method development; higher resolution small molecule separations.",Sign in to view Waters price,ACQUITY UPLC BEH C18,Reversed Phase,1.7 um,2.1 mm,150 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186002353-acquity-uplc-beh-c18-column-130a-17--m-21-mm-x-150-mm-1-pk.html,186003975,"ACQUITY UPLC BEH C18 VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003975-acquity-uplc-beh-c18-vanguard-pre-column-130a-17--m-21-mm-x-5-mm.html,,Matched,"Same chemistry, pore size, particle size, and 2.1 mm VanGuard format."
SKU,ACQUITY UPLC BEH C8 Column,186002877,"Lower-hydrophobicity BEH C8 UPLC column.","130 A; 1.7 um; 2.1 mm x 50 mm; pH 1-12.","Diverse analytes requiring less retention than C18; hydrophobic compounds.",Sign in to view Waters price,ACQUITY UPLC BEH C8,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186002877-acquity-uplc-beh-c8-column-130a-17--m-21-mm-x-50-mm-1-pk.html,186003976,"ACQUITY UPLC BEH C8 VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003976-acquity-uplc-beh-c8-vanguard-pre-column-130a-17--m-21-mm-x-5-mm.html,,Needs verification,"Expected matching VanGuard chemistry; verify Waters page before ordering."
SKU,ACQUITY UPLC BEH Shield RP18 Column,186003975-COL,"Embedded-polar-group BEH Shield RP18 chemistry with C18 hydrophobicity and aqueous compatibility.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Basic compounds, alternate selectivity vs C18, 100% aqueous-compatible reversed phase.",Sign in to view Waters price,ACQUITY UPLC BEH Shield RP18,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186003977,"ACQUITY UPLC BEH Shield RP18 VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003977-acquity-uplc-beh-shield-rp18-vanguard-pre-column-130a-17--m-21.html,,Needs verification,"Use matching Shield RP18 VanGuard; source row is family-level because specific analytical SKU was not validated in this pass."
