Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware,Guard Column,Unit,Agilent Page SKU Count,Source URL,Completeness Note,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Agilent Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,HPLC and UHPLC Columns Portfolio,MULTIPLE,"Agilent portfolio covering bio columns, small molecule columns, and GPC/SEC columns.","Includes HPLC/UHPLC, bio, small molecule, GPC/SEC; not GC.",General LC/HPLC/UHPLC column selection.,Varies,Portfolio,,,,,,,,,>3500 via reseller; many hundreds visible on Agilent pages,https://www.agilent.com/en/product/hplc-columns,"Index row, not an individual SKU.",,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Small Molecule HPLC Columns,MULTIPLE,"Small molecule portfolio includes InfinityLab Poroshell 120, ZORBAX, Polaris, and Pursuit columns.",Multiple phases and modes.,Small molecule separations and method development.,Varies,Small Molecule HPLC Columns,Multiple,,,,,,,,Multiple,https://www.agilent.com/en/product/small-molecule-columns,"Index row, not an individual SKU.",,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,InfinityLab and Altura Poroshell 120 HPLC Columns,MULTIPLE,Superficially porous columns for reversed-phase LC with many chemistries.,"20 chemistries; 1.9, 2.7, and 4 um options.","Routine reversed phase, high-pH basic analytes, low-pH acidic compounds, polar analytes, chiral separations, and PFAS.",Varies,InfinityLab Poroshell 120,Reversed Phase / HILIC / Chiral / PFAS,1.9 um; 2.7 um; 4 um,,,120 A,,,,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Family row based on public category page.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,ZORBAX Reversed-Phase HPLC Columns,MULTIPLE,"Fully porous ZORBAX silica columns, including Eclipse Plus, Eclipse XDB, StableBond, Bonus-RP, Extend-C18, Rx, PAH, and preparative options.","Traditional fully porous particles; 1.8, 3.5, 5, and selected 7 um.","General reversed-phase method development, high loading capacity, scalable analytical-to-prep LC.",Varies,ZORBAX,Reversed Phase,1.8 um; 3.5 um; 5 um; 7 um,,,,,,,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Agilent page reports 980 results; this CSV includes representative first-page rows only.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Polaris HILIC HPLC Columns,MULTIPLE,Polaris HILIC columns for polar phase chemistries such as NH2 and Si.,Meets USP L3 and L8; NH2 and Si chemistries.,"Sugars, carbohydrates, and polar compounds in HILIC mode.",Varies,Polaris,HILIC,3 um,,,180 A,,,,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Agilent page reports 31 results; representative first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Polaris Columns for NP/SFC,MULTIPLE,Polaris polar chemistries for normal phase and SFC.,"Meets USP L3, L8, and L10.",Polar samples in normal phase and SFC modes.,Varies,Polaris,Normal Phase / SFC,3 um,,,180 A,,,,26,https://www.agilent.com/en/product/small-molecule-columns/normal-phase-sfc-columns/polaris-for-np-sfc,Agilent page reports 26 results; representative rows overlap with Polaris NH2.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Reversed Phase Preparative HPLC Columns,MULTIPLE,Preparative LC columns for scale-up of reversed-phase chromatography.,"C18, C8, phenyl, Prep-C18; 21.2, 30, and 50 mm ID families.","Purification campaigns; yield, purity, throughput.",Varies,Prep / Pursuit / ZORBAX / Poroshell,Preparative Reversed Phase,5 um; 10 um,4.6-50 mm,50-250 mm,100-200 A,,,1 Each,19,https://www.agilent.com/en/product/small-molecule-columns/preparative-hplc-columns/reversed-phase-prep,Agilent page reports 19 results; first-page examples included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Altura Ultra Inert HPLC Columns,MULTIPLE,Ultra Inert coated HPLC columns to reduce interactions with active metal sites.,"Initial release includes reversed-phase and HILIC stationary phases; 1.8, 1.9, and 2.7 um.","Metal-sensitive analytes, peptides, oligonucleotides, polar metabolites, LC/MS workflows.",Varies,Altura,Reversed Phase / HILIC / PFAS,1.8 um; 1.9 um; 2.7 um,2.1 mm; 4.6 mm,30-250 mm,95-120 A,Ultra Inert SS,,1 Each,26,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,Agilent page reports 26 results; representative first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,AdvanceBio SEC HPLC Bio Columns,MULTIPLE,"Size-exclusion columns for aggregate and fragment analysis of peptides, proteins, mAbs, AAVs, VLPs, and large oligonucleotides.","1.9 and 2.7 um; 120, 130, 300, 500, and 1000 A variants.",Aggregate and fragment analysis of biomolecules.,Varies,AdvanceBio SEC,Size Exclusion (SEC),1.9 um; 2.7 um,,,120-1000 A,,,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,Agilent page reports 32 results; first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,AdvanceBio Amide HILIC and Glycan Mapping Columns,MULTIPLE,HILIC columns for high-resolution glycan separations optimized for fluorescence and MS detection.,1.8 and 2.7 um; 120 and 300 A.,Glycan mapping / N-glycan analysis.,Varies,AdvanceBio Glycan Mapping / Amide HILIC,HILIC,1.8 um; 2.7 um,2.1 mm; 4.6 mm,5-250 mm,120 A; 300 A,,,1 Each or 3 Pack,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,Agilent page reports 14 results; first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,AdvanceBio Peptide Plus Reversed-Phase Columns,MULTIPLE,"Superficially porous charged-surface C18 columns optimized for peptides, impurities, and post-translational modifications.",2.7 um; 100 A.,Peptide mapping and LC/MS peptide separations.,Varies,AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1-4.6 mm,5-250 mm,100 A,SS or Ultra Inert SS,,1 Each or 3 Pack,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,Agilent page reports 16 results; first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
