Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Phenomenex Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,Phenomenex HPLC / UHPLC / Bio / GPC Column Portfolio,MULTIPLE,"Phenomenex LC catalog includes UHPLC/HPLC, bioseparations, chiral, ion-exclusion, GFC/SEC, GPC, prep/Axia, clone chemistries, and legacy HPLC brands.","Brands include Kinetex, Luna, Luna Omega, Gemini, Synergi, Aeris, bioZen, Yarra, Phenogel, Rezex, Jupiter, Lux, Clarity and others.","General LC method development, pharma, environmental, food, biopharma, polymer, chiral and preparative purification.",Varies,Portfolio,Multiple,,,,,,No,,https://www.phenomenex.com/service-listing-products,,,,,Family/index row,"Not an individual SKU; choose guard by brand, phase, particle size, ID, pressure rating and hardware."
Family,Kinetex Core-Shell LC Columns,MULTIPLE,"Core-shell silica columns for high efficiency on HPLC/UHPLC systems.","Common phases include C18, XB-C18, PS C18, Biphenyl, F5, PFP, Phenyl-Hexyl, EVO C18, HILIC; particle sizes vary by phase.","Fast UHPLC/HPLC small-molecule methods, high efficiency, method transfer and alternate selectivity.",Varies,Kinetex,"Reversed Phase / HILIC","1.3-5 um",Multiple,Multiple,100 A typical,Core-shell silica,No,,https://www.phenomenex.com/products/kinetex-hplc-column/kinetex-c18,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use SecurityGuard ULTRA or SecurityGuard cartridge matching exact phase/ID; verify in GuardFinder."
Family,Luna HPLC Columns,MULTIPLE,"Ultra-pure silica HPLC columns known for reliability and broad method reproducibility.","C18, C18(2), C8, phenyl-hexyl, NH2, CN, silica and other phases; analytical to prep formats.","Routine HPLC methods, USP methods, method transfer and preparative workflows.",Varies,Luna,"Reversed Phase / Normal Phase / HILIC","3, 5, 10, 15 um",Multiple,Multiple,"100 A, 150 A and others",Fully porous silica,No,,https://www.phenomenex.com/products/luna-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use the SecurityGuard phase matching the Luna chemistry and ID."
Family,Luna Omega HPLC/UHPLC Columns,MULTIPLE,"Fully porous LC columns for improved selectivity and UHPLC/HPLC workflows, including Polar C18 and PS C18 options.","Polar C18, PS C18, C18; 1.6, 3, and 5 um examples.","Polar/hydrophobic analytes, improved peak shape for bases, method development.",Varies,Luna Omega,Reversed Phase,"1.6, 3, 5 um",Multiple,Multiple,100 A,Fully porous silica,No,,https://www.phenomenex.com/products/luna-omega-hplc-uhplc-lc-columns,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use GuardFinder; exact guard may differ for UHPLC vs HPLC dimensions."
Family,Gemini pH Flexible LC Columns,MULTIPLE,"Hybrid-organic silica HPLC columns designed for broad pH operation and reproducibility.","C18, NX-C18, C6-Phenyl; pH 1-12 for many phases.","High-pH/low-pH reversed-phase methods, basic compounds, pharmaceutical method development.",Varies,Gemini,Reversed Phase,"3 or 5 um",Multiple,Multiple,110 A,Hybrid silica,No,,https://www.phenomenex.com/products/gemini-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Select matching Gemini SecurityGuard cartridge by phase and ID."
Family,Synergi HPLC Columns,MULTIPLE,"Selectivity-focused reversed-phase HPLC columns including Hydro-RP, Polar-RP, Max-RP and Fusion-RP.","Common 4 um, 80 A phases.","Polar compounds, weakly hydrophobic analytes, basic compounds, aqueous-stable methods.",Varies,Synergi,Reversed Phase,4 um,Multiple,Multiple,80 A,Fully porous silica,No,,https://www.phenomenex.com/products/synergi-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Select matching SecurityGuard phase and ID; many phases have dedicated guard media."
Family,bioZen LC Columns,MULTIPLE,"Bioseparations column family for peptides, proteins, glycans, oligos, mAbs, charge variants and SEC.","Peptide XB-C18, WidePore C4, SEC-2, dSEC-2, Glycan, Oligo, WCX and related phases.","Biopharma peptide mapping, intact/subunit analysis, glycan analysis, oligonucleotides, mAb SEC and charge variants.",Varies,bioZen,"Reversed Phase / HILIC / SEC / IEX","1.8, 2.6, 3, 6 um",Multiple,Multiple,"100-400 A",Bio LC columns,No,,https://www.phenomenex.com/products/biozen-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use bioZen-specific SecurityGuard ULTRA or matching short guard column where listed."
Family,Aeris Core-Shell LC Columns,MULTIPLE,"Core-shell peptide/protein LC columns for peptide mapping and widepore protein separations.","Peptide XB-C18 100 A; WidePore XB-C18 200 A; common 2.6 and 3.6 um.","Peptides, peptide mapping, antibodies, hydrophilic proteins and large peptides.",Varies,Aeris,Reversed Phase,"2.6, 3.6 um",Multiple,Multiple,"100 or 200 A",Core-shell bio LC,No,,https://www.phenomenex.com/products/aeris-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use phase-matched SecurityGuard ULTRA for peptide/core-shell methods; verify exact pore/phase."
Family,Yarra GFC/SEC Columns,MULTIPLE,"GFC/SEC columns for biomolecule molecular-weight separations.","SEC-2000, SEC-3000, SEC-4000 phases; common 3 um and 7.8 mm ID formats.","Protein, peptide and biomolecule molecular-weight separation by SEC/GFC.",Varies,Yarra,GFC / SEC,3 um,"4.6 or 7.8 mm","150 or 300 mm",,GFC/SEC column,No,,https://www.phenomenex.com/products/yarra-gfc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Guard selection is SEC-series specific; verify with GuardFinder."
Family,Phenogel Organic GPC/SEC Columns,MULTIPLE,"Organic GPC/SEC columns for polymer molecular-weight analysis.","50 A to 10E6 A and linear/mixed phases; common 5 or 10 um; 7.8 mm ID.","Synthetic polymers and organic-soluble polymer MW distributions.",Varies,Phenogel,Organic GPC/SEC,"5 or 10 um",7.8 mm typical,"300 mm analytical; 50 mm guard",Multiple,Organic GPC column,No,,https://www.phenomenex.com/products/phenogel-organic-gpc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use Phenogel 5 or 10 um guard column matching method/solvent and column set."
